叶子类目名称,按订单量加权价格中位数,过滤后总订单量,过滤后样本行数 (1),过滤后样本行数
文房墨汁,27.8,106,38,
文摘/文学报纸期刊,11.525957,70,11,
文物/考古,129.9,1,1,
文玩工具,28.06087,424,110,
文玩擦擦,1937,1,1,
文玩核桃,51.93931,601,79,
文玩配饰,14.166,204,43,
文稿纸/草稿纸,8.46087,116,7,
文胸,49.762222,72343,12488,
文鸟/珍珠鸟,42,4,4,
斗兽棋,6.8,1,1,
斗柜,500,60,29,
料酒,10.720243,3561,50,
斧子,28.9,88,20,
斩骨刀,25.068462,233,39,
新娘手捧花,94,10,8,
新疆舞配饰,11.8,2,2,
新能源汽车充电用品,55.5,58,23,
新能源汽车充电设备,285.98,89,25,
新闻类报纸订阅,150.81,2,2,
新鲜葵花籽/葵瓜子,8.870484,73,4,
方便米饭,27.185307,689,82,
方便粉丝/粉条,19.9,1549,179,
方便面,35.920337,10152,342,
方向盘,8.9,1,1,
方向盘套,27.62,680,360,
施工除尘器,98.647059,76,27,
施肥机械,52.377778,114,24,
旅游地图册/集,8.533333,14,6,
旅游小百科,60,2,1,
旅行箱/拉杆箱,154.72619,1756,507,
旅行茶具,21.445,370,53,
旗帜,60.860732,163,60,
旗袍,89.9,7257,1462,
无人机,1063.43439,399,27,
无源元件,9.093535,1149,19,
无线传输设备,26.878462,65,1,
无线电/对讲机/通讯设备,22.625532,71,7,
无线电波探测仪,7.893766,275,11,
无花果,88.841176,67,17,
无花果干,44.538932,439,51,
日历,14.46,136,38,
日记本,13.9,8,3,
日语,13.86,3,1,
日语考试,23.58,1,1,
日韩腕表,238,34,16,
早教机/点读学习,33.890438,4685,181,
早教电子玩具,19.933333,1204,201,
时尚套装,63.3,119595,13890,
时尚报纸期刊,36,5,4,
时政,15.1575,4,1,
时间管理,34.5,1,1,
昆虫类,97.25,74,30,
明星写真,40.6,1,1,
星月菩提,9.95,140,44,
春卷,47.443043,28,5,
显卡,2849,7,6,
显微镜,199,11,9,
显示器,674.25,184,79,
显示器支架与配件,94.161286,341,24,
显示屏/LCD液晶屏/LED屏/TFT屏,69.777778,29,3,
普拉提床,898,2,2,
普拉提背部训练器,13.47,3,3,
普洱,78,4010,414,
普洱老茶,163.501667,74,10,
普通U盘,27.9,214,62,
普通抽纸,29.271944,31579,885,
普通望远镜,63,190,44,
