叶子类目名称,按订单量加权价格中位数,过滤后总订单量,过滤后样本行数 (1),过滤后样本行数
电热孵化设备,31.814286,9,3,
电热工具,26.428571,21,11,
电热杯,40.279079,291,17,
电热板/电热毯,31.9,1,1,
电热毛巾架,874,1,1,
电热毯,46.6,65,24,
电热水器,679.333333,121,28,
电热水壶,17.831629,2840,187,
电热水龙头,116.625,31,13,
电热管,19,4,4,
电热膜,19.9,2,2,
电热饭盒,90,28,14,
电煮锅,16.590187,5894,93,
电煲/电锅类配件,69.011111,69,23,
电熨斗,25.507647,30,6,
电玩/游戏摇杆,77.05,4,4,
电瓶充电器,48.675,10,6,
电瓶搭火线,12.6,12,9,
电磁炉/陶炉,120.401803,566,61,
电竞椅,189.0796,114,54,
电笔,8.99,1,1,
电箱吉他,787.9,1,1,
电线管配件,9.75,4,4,
电缆线,18.388772,356,36,
电脑打印纸,30.2,6,4,
电脑桌/书桌,102,289,158,
电脑椅,206.5,183,75,
电脑视听配件,82.188,16,9,
电茶炉/煮茶器/奶茶机,48.476337,731,54,
电蒸箱,129.001111,130,22,
电蚊拍,9.86494,3832,57,
电表,55.28,13,13,
电视,2393.8,100,25,
电视机配件,103,45,25,
电视柜,770,50,39,
电路保护,9.9,1,1,
电路板,58.88,7,6,
电钻,108,251,71,
电锤,173.545461,481,30,
电锯,149,50,30,
电锯片,64.555556,224,56,
电风扇/空气循环扇,40.384615,1261,234,
电饭煲,71.629583,2737,153,
电饼铛/可丽饼机/薄饼机,187.016036,542,38,
男士内裤,44.54,20113,3699,
男士泳衣/裤,32.9,206,101,
男士私处护理,13.625185,79,19,
男科用药(Rx),27.863158,138,24,
画布,17.925,11,8,
画袋,18.62,126,6,
界铝机,545,1,1,
留香珠,16.3025,366,75,
畜牧/养殖,23.211111,17,3,
畜牧养殖器械,30,913,249,
番茄酱,20.486667,329,60,
疤痕护理,16.384531,777,38,
登山机,1618.66667,6,1,
登山杖/手杖,37.475714,732,132,
登山鞋/徒步鞋,177.008943,1796,470,
白巧克力,16.9,8,4,
白扁豆,13.923143,69,7,
白术,48.86,11,6,
白板,32,86,35,
白板笔,10.8,30,19,
白果/银杏果,13.72,6,5,
白炽灯,24.323333,8,3,
白砂糖包,23.326177,412,13,
白糖/黄糖/木糖醇/代糖,11.668909,632,57,
白茶,75.562222,2197,159,
百叶轮,73.5,2,1,
百合,53.18254,609,59,
百合干,26.594507,599,43,
百合花茶,17.425,7,3,
百洁布,7.193842,3220,119,
百科全书,8.090909,21,3,
百香果,25.966268,3501,117,
百香果茶,10.516667,4,2,
皂盒,10.785714,475,112,
皂角米,54.865904,125,13,
皮划艇/充气艇,365,11,10,
皮头/杆头,61.444444,173,72,
皮带及传动组件,20.48,6,6,
皮水袋/皮囊,77,3,2,
皮肤消毒用品,17.095156,4649,46,
皮肤科用药,18.977207,5372,260,
皮肤科用药(Rx),29.9,34,8,
皮艺床,1174.56,92,38,
皮艺沙发,238.763436,572,52,
皮衣,75.860759,3719,607,
皮裤,84.914286,11,5,
皮鞋,129.641355,11084,2224,
盆,12.916667,2147,235,
盆底修复仪,471.525,12,7,
盆景石,15.131944,394,46,
益智游戏/立体翻翻书/玩具书,27.489304,1065,92,
益母草,155.964386,61,4,
益生菌,252.625625,83,21,
盐度计,86.4,1,1,
监听耳机,85.333333,19,9,
监控器材配件,41.85,22,10,
监控存储设备,35.19,3,2,
监控摄像机,58.5,197,57,
盒子,285.428571,18,7,
盒子/罐子/杯子蛋糕,18.525,39,14,
盖帽配饰,19.95,200,107,
盖碗,24.752,392,118,
盘,4214.5,9,2,
盘/碟,11.259576,6732,829,
直播钻石,9.98,166,3,
直磨机,198.666667,3,1,
相机/摄像机专用充电套装,32.666667,3,1,
相机挂绳,5.04,10,5,
相机电池,35,45,22,
相机背带,34.4,13,6,
相机腕带,16.8,16,10,
相机镜头,1274,8,6,
相框/画框,12.526512,1040,298,
相框线条,8.962264,63,9,
相片纸,309.295,4,3,
眉毛雨衣,32.309091,17,3,
眉笔/眉粉/眉膏,17.620591,4770,449,
真空包装机,33,2,2,
眼影,33.038759,7156,355,
眼线,18.096066,11432,309,
眼罩,12.64607,2443,199,
眼罩/眼贴,18.8,2,2,
眼胶/_喱,7.8,1,1,
眼膜,9.9,1087,89,
眼贴,16.366192,912,80,
眼部护理套装,20.579412,153,9,
眼部清洁,24.845172,161,32,
眼部精华,16.255241,2879,59,
眼镜护理剂,11.98,12,5,
眼镜护理液,58.507054,693,2,
眼镜清洁器,26.754545,29,8,
眼镜盒,17.462255,149,22,
眼镜螺丝刀,7.9525,17,5,
眼镜袋,11.800976,251,36,
眼镜链,12.5,36,25,
眼镜防滑耳套,8.842727,77,23,
眼镜防雾剂/湿巾,12.9,26,9,
眼镜鼻托,8.943245,846,28,
眼霜,85.258621,2804,158,
睡眠贴/鼻舒贴/润目贴,39.432258,283,23,
睡袋,53.902353,325,67,
睡袋礼盒/套装,31.333333,176,19,
睫毛夹,17.275,603,41,
睫毛膏,57.323499,7901,114,
矫正/矫姿用品,35.9,788,46,
短笛,39.8,3,3,
短篇小说集/故事集,27.173787,431,11,
短袜,16.470698,27574,2412,
短裤,42.785714,27213,5315,
矮凳/板凳,27.546,232,80,
石斛/枫斗,85.34142,531,34,
石膏,18.9,4,3,
石膏线条,34,2,2,
石雕,158.4,7,3,
矿物类饮片,31.62,1,1,
砂仁,36.8,11,10,
砂带机,270.8,1,1,
砂纸机,321.72,4,3,
砂轮机,25.944,27,8,
研究生辅导,168,1,1,
砖,348,7,6,
砖雕,82,4,1,
砚台/砚屏,18.696216,77,21,
砧板/菜板,40.966885,5794,347,
破壁机,132.312542,2276,31,
破窗器/安全锤,19.7625,65,20,
硅钙板/水泥板,1020,1,1,
硬盘录像机/DVR,414,1,1,
硬盘盒,55.647353,70,18,
硬质合金,35.531034,92,34,
碎纸机,198,3,2,
碎草机,243.437805,102,13,
碗,10.967412,10954,1127,
碰碰车,189.9,1,1,
碱水面包,19.9,231,34,
碳纤维外观件,200,1,1,
碳酸饮料,13.445128,4213,318,
磁性展示牌/贴,9.9,14,8,
磁盘刻录存储类,76.434146,44,4,
磁钉,13.45,8,5,
磁铁及制品,23.714286,912,66,
磨刀器,9.7,650,88,
磨刀护刀工具/套装,32,3,3,
磨刀架,22.47,2,2,
磨刀石,6.723333,6,4,
磨削抛光材料,14.414118,257,89,
磨牙棒/饼干,10.046372,2518,161,
磨粉机/药材研磨机,30.79,25,18,
磨豆机,19,34,12,
礼仪,116.8,1,1,
礼品盒/礼品袋,13.438636,218,109,
礼花/礼炮,28.416621,868,142,
社会学,16.097898,326,9,
社会实用教材,5.3,2,2,
社会科学,8.99,2,2,
社会科学总论,32.76985,807,14,
神经系统(Rx),49.20831,73,3,
票夹长尾夹,12.4,22,20,
票证收藏,5.5,2,2,
福字,13.09,31,20,
秀丽笔,6.31875,47,9,
私处保养,99.8,2235,120,
私处护理,52.47619,145,35,
私处护理套装,15.799157,1588,6,
私处洗液,36.746667,1661,126,
私处香氛,6.068889,45,1,
私护湿巾,17.095389,2013,33,
秋千,135.4,24,15,
秋梨膏,17.228462,13,1,
秋葵,15.982,16,3,
种球,8.532311,12040,515,
科幻小说,39.08303,59,11,
科普百科,44.979478,1339,104,
秧歌配饰,14,21,13,
积木人/配件,22.811429,30,10,
移动固态硬盘,133.446429,37,4,
移动电源,71.29726,4906,296,
移动硬盘,147.585714,38,13,
移动空调,245.303502,264,4,
程序设计,7.18,13,5,
稳压器,60.8,1,1,
空中瑜伽吊床,27.89,1,1,
空气净化器/空气消毒器,52.89703,251,14,
空气开关,15.47,10,9,
空气清新/净化/芳香剂,17.995258,4603,319,
空气滤芯,64.98,217,136,
空气炸锅,76.127708,588,18,
空灵鼓,518.32,1,1,
空竹,10,1,1,
空调挂机,1773.27811,99,19,
空调旋钮,8,2,2,
空调柜机,4371.92308,25,6,
空调清洁剂,14.41625,351,37,
空调滤芯,32.139714,1656,767,
空调系统清洗剂,11.88,59,8,
空调配件,15.42809,189,42,
穿戴甲,13.055517,7305,1323,
窗帘,48.125,1653,614,
窗帘杆/帘杆,48.911111,89,42,
窗帘轨道,28.5,34,29,
窗帘面料,50,28,14,
窗纱,13.528,1061,419,
窗配件,14.56,418,192,
窝,13.9,43,32,
窝/屋,21.058095,1081,288,
窝料,14.764773,382,36,
竖笛,27.9,11,6,
站架,14.690909,101,37,
童车配件,19.15,135,68,
竹/木/根雕及其制品,15.957049,881,138,
竹签,19.92,120,47,
竹编/草编/棕编/藤编,13.8,454,99,
竹节参,72.6,10,1,
竹荪,51.428571,211,19,
笋,19.042857,1716,153,
笋类制品,16.08998,1551,141,
笔挂,37.59,2,2,
笔插,57.133333,68,9,
笔搁,7.6,7,5,
笔架,10.026181,6028,23,
笔洗,101.700455,35,3,
笔用墨水/补充液/墨囊,10.08,65,33,
笔筒,259.414394,957,49,
笔袋/文具盒,13.31,718,287,
笔记本/记事本,12.901,625,117,
笔记本保护壳,49,24,13,
笔记本多功能支架/桌,19.75,106,39,
笔记本屏幕贴膜,34.8,10,10,
笔记本散热器/降温卡,27.828421,116,11,
笔记本电池,90,3,3,
笔记本电源,44.84,12,11,
笔记本电脑,3399,50,22,
笔记本键盘保护膜,12.8,37,32,
笔记本零部件,268,4,3,
笛头,180,9,4,
笛子,138,216,48,
笛膜,9,12,7,
第三套人民币,209.732675,1258,3,
第二套人民币,302.793634,660,3,
第四套人民币（流通币除外）,201.11069,6106,10,
笼子,41.55,551,248,
筋膜枪,145,226,34,
筋膜柱,22.299885,161,21,
筋膜球,17.103333,37,14,
筒灯,15.9,212,60,
筛盅,11.6,16,11,
筷子,16.495167,2595,270,
筷子筒,8.485714,161,31,
筹码,9,87,48,
算盘,11.31,115,25,
管夹,9.65,158,43,
管接头,25.197059,369,156,
管材型材,31.8,5,4,
管理学理论/MBA,18.935682,60,4,
管类/试管/滴管,7.54,12,4,
管线机,1797.5,3,2,
管道疏通剂,17.807682,3306,96,
管道疏通器,18.38199,438,66,
管道阀门,11.22,2,1,
箫,168.1,15,12,
箭,39.95,6,5,
箭靶,10.81,3,3,
箱包配件,19.9,2104,478,
箱包（鉴真）,111.495,22,8,
箱类,255.37381,85,2,
篆刻工具与材料,55.13,13,9,
篮球,43.013249,630,117,
篮球架/篮球框,31.3,24,11,
篮球球迷用品,12.9,32,19,
篮球网,15.5,9,7,
篮球鞋,165.9,473,278,
篱笆栅栏,34.358824,197,94,
簸箕,17.29,69,30,
米类粉,13.9,330,57,
米粉/米糊/汤粥,36.403333,968,79,
米酒,38.732243,1477,104,
米饼,10.190909,371,33,
粉底液/膏,54.090972,10771,616,
粉扑/化妆刷清洁剂,7.354043,405,13,
粉条,17.568962,1989,127,
粉笔,11.302857,44,11,
粉饼,35.075713,5968,236,
粒子计数器,64.142857,9,2,
粘合剂/胶水,13.666667,10,6,
粘毛器,5.435651,833,32,
粘蝇纸,9.913374,1322,90,
粮食种子,15.096154,576,111,
粽子,25.587414,4168,231,
糕点礼盒/伴手礼,71.398787,2267,57,
糖果,16.80269,16536,1540,
糙米,13.902759,546,49,
糯米,17.98,511,51,
糯米笋,11.014583,66,5,
糯米鸡,44.984906,156,10,
素描/素写本,14.8,185,68,
素肉,17.568974,713,122,
素颜霜,17.066667,4433,170,
素食礼包/组合,23.957143,41,8,
素鸡,29.622222,97,11,
紧固连接件,16.5,12,9,
紫外灯,357.39,1,1,
紫外线灯,6.16439,46,4,
紫米,26.91,23,10,
紫苏,19.6,16,7,
紫菜,9.008446,463,36,
紫金鼠,48.8,46,27,
红包/利是封,9.8,728,221,
红参,123.718182,42,11,
红外夜视仪,225.93,50,8,
红木,39.5125,8,4,
红糖/黑糖/风味红糖,14.708678,648,77,
红糖姜茶,15.147368,114,8,
红花,9.9,12,7,
红茶,49.573984,2047,261,
红薯/番薯,22.302849,22690,332,
红豆,9.477397,431,52,
红领巾,5.946667,33,11,
纤体用品,8.112258,77,8,
纤体霜/凝露,32.326538,207,9,
纪实/报告文学/回忆录,36.378234,1076,5,
纯净水,22.636667,582,17,
纯水湿巾,27.320855,1509,101,
纯牛奶,8.178615,21406,279,
纱布绷带,12,66,35,
纱窗,19.06,5,4,
纳豆,29.99,41,13,
纸质包装,8.225911,10109,62,
纹身贴,8.917281,914,146,
线,19.274524,5454,1493,
线性灯,8,9,8,
线材/线类,15.96,191,60,
线组,11.755,3599,1307,
线缆与电材,16.566667,50,38,
练字帖/练字板,12.461974,1586,155,
组合件和连接副,9.27,83,52,
组合型花茶,21.660571,4728,473,
织物喷雾,8.796419,1667,90,
织物染色剂,13.9,239,33,
织绣/刺绣,204.489376,3643,27,
经济理论,60.736364,35,4,
结构胶,19.8,60,27,
绘图/白图纸,9.9,65,32,
绘图计算套装,10.8,4,1,
绘本/图画书/少儿动漫书,28.690058,4072,300,
绘画,28.701586,478,24,
绝缘制品,17,6,5,
绞肉/碎肉/绞菜机,100.357778,124,26,
绣球/木绣球/木本植物,29.582286,1131,126,
绳索,32.5,27,19,
绳索/扎带/办公线材,12.597394,503,57,
绳结玩具,8.5,72,23,
维生素/矿物质/钙铁锌硒,40.915986,8845,259,
维生素C,63.40688,1003,17,
维矿物质,34.404444,812,61,
综合,14.666667,5,3,
综合及其他报纸期刊,15.19641,85,15,
综合效果器,341,6,4,
绿植盆栽,18.134328,29206,2045,
绿茶,38.378494,19640,659,
绿豆,24.149167,163,39,
绿豆糕,7.74525,4462,37,
缓冲防护材料,14.75,43,26,
缓解疲劳,66.9,4,4,
缝纫DIY工具套装,12.32,156,67,
缝纫DIY配件/辅料/配饰,12.408906,4545,1238,
缝纫机,91.531034,279,41,
缝纫机/绣花机配件,24.266,33,13,
缸,168,1,1,
罐,168,1,1,
网卡,25.9,36,12,
网球,12.5,34,17,
网球拍,53.044444,59,10,
网球线,64.84,2,2,
网球练习器,95.944444,91,18,
网球网,51.04,3,2,
网球鞋,660,33,19,
网线,12.9,13,7,
网络图像设备,150.4,1,1,
网络存储设备,7703,1,1,
网络工具,5.8,52,4,
网络摄像机,777,1,1,
网络线,17.286667,23,17,
网络高清播放器,199,2,2,
罗布麻,12.91,2,2,
罗汉床,1681.42857,14,7,
罗汉果,19.053023,101,7,
罗汉果干,13.266017,235,11,
置物架,18.96302,2265,403,
羊奶,38.8,27,10,
羊奶粉,91.798235,278,24,
羊排/肋排,184.22,19,8,
羊杂/内脏,78.421739,69,13,
羊毛衫,39.9,1,1,
羊绒衫,149.111111,511,194,
羊肉制品,68.228571,303,37,
羊肚菌,15.108667,1135,64,
羊腿,76.139394,43,7,
羊骨,131.89,12,3,
美体护理,15.230769,108,28,
美体用品,8.653333,1583,86,
美发剪,13.209375,840,110,
美发笔,30.989355,167,19,
美学,44,11,8,
美容仪,82.951905,382,77,
美容剪,19.756667,86,31,
美工刀,9.244776,767,122,
美术,199.333333,7,2,
美术颜料,19.99,160,85,
美甲工具,25.758065,640,146,
美甲饰品,10.8,5574,1222,
美缝剂,26.5,110,49,
美腿机/腿部训练器,18.175,528,66,
羽毛球,12.9605,689,102,
羽毛球拍,43.83,828,208,
羽毛球拍线,34,57,35,
羽毛球网/网柱/网架,8.30375,11,4,
羽毛球训练器,34.9,10,9,
羽毛球鞋,198.6,189,108,
羽绒服,78.202394,4266,512,
羽绒裤,25.9,4,1,
翻译笔/翻译机,78.774194,174,9,
老物件,66.666667,10,4,
老白茶,188,1,1,
老花镜,12.480259,10328,540,
老豆腐,20.143457,116,9,
老黑茶,455.476667,5,2,
老鼠夹,8.124211,114,21,
考勤机,115,11,5,
考古,843.2,1,1,
考研,46.676491,159,34,
考试教材,37.119767,306,29,
耕种机械,8.830792,403,36,
耳勺,7.8,667,109,
耳塞,17.2,190,48,
耳塞保护套,9.8,3,3,
耳夹,14.17947,2610,194,
耳机,48.441101,13452,1063,
耳机保护套,13.99,371,225,
耳机充电仓,19,55,20,
耳机放大器,59,5,5,
耳机线夹,17.8,1,1,
耳机绕线器,6.055789,395,83,
耳环,17.470362,13440,1186,
耳线,19.58,97,32,
耳罩,8.03,14,9,
耳部清洁,8.621867,880,49,
耳钉,12.9,9489,1660,
耳饰,35.9,2421,424,
耳麦,8.9225,291,31,
耳鼻喉科学,28.8,4,2,
职业/考试,19.9,99,43,
职场,20.364091,30,5,
职场小说,10.5,1,1,
肉夹馍,10.184058,122,16,
肉松/鱼松,14.989231,181,16,
肉松饼,8.2,12,9,
肉桂,35.763333,25,14,
肉桂粉,56.128475,149,8,
肉燕,83.374933,444,16,
肉禽制品礼盒/组合,40.757353,91,17,
肉肠,23.8675,146,18,
肉苁蓉,88.4,69,21,
肉蛋零食礼盒/组合装,21.680307,1460,74,
肚皮舞配饰,16.9,12,6,
肝胆用药,20.644,98,14,
肝胆用药(Rx),135.65,5,2,
肠类制品,27.366489,4656,274,
肠粉,24.923077,28,6,
肠胃用药,31.064397,2584,145,
肢体康复训练器材,149,7,4,
肥肠,54,5,4,
肩垫,59,1,1,
肩颈/膝肘贴,31.73784,6606,386,
肩颈辅助训练器械,25.67931,81,26,
育儿/儿童教育音像,32.72,2,2,
育儿书,9.755833,50,3,
育儿百科,36.255556,37,8,
育儿背巾,18.668966,59,11,
胀塞,34,1,1,
胃幽门螺杆菌检测,6.083548,845,7,
背带,11.9,70,26,
背心/吊带,32.5,77934,10092,
胎压监测,61,9,8,
胎心仪及配件,44.5,9,6,
胎教用品,11.55,6,5,
胖大海,27.408333,57,16,
胖大海组合茶,15.8,33,11,
胡萝卜,10.946704,627,17,
胰岛素注射用品,7.8,29,14,
胶卷相机,149.8,2,2,
胶原蛋白敷料,89.796727,147,23,
胶合板,19.966667,4,2,
胶囊咖啡,75.8,18,13,
胶带,11.297451,2581,416,
胶带切割器,10.8,39,21,
胶棒,8.24,67,24,
胶水,9.26841,567,103,
胶片胶卷,68.341186,138,20,
胸花,11.7,90,48,
胸部护理,39.9,11,8,
胸针,17.94,454,176,
胸饰,8,1,1,
能源与动力工程,19,1,1,
脂肪酸/脂类,108.241837,943,25,
脊背/羊蝎子,99,26,5,
脚掌滋润/防滑/护理,32.9,18,8,
脚撑/停车架/骑行台,8.871429,68,32,
脚架/云台,170.442857,139,37,
脚架配件,64.301111,36,11,
脚踏/轴承/滚珠,68.4806,97,22,
脚蹼,103,3,3,
脚链,8.582667,204,45,
脱毛仪,295.55,60,6,
脱毛工具,17.888171,2204,53,
脱毛膏/凝胶,31.066049,2467,99,
脱漆剂,8.05,11,3,
脸盆,10.4,310,112,
脸谱,28.6,1,1,
脸部肌肉训练器,15.770342,700,17,
腊八蒜/糖蒜,19.507692,46,7,
腋下包,35.268571,4817,214,
腌菜/酱菜/泡菜/榨菜,10.14,20555,1079,
腕力器/腕力球,35.98,25,11,
腕表配件,22.88,683,362,
腕部防护用品,6.730765,287,37,
腮红/胭脂,37.00259,7152,401,
腰佩,59.9,41,10,
腰包/胸包,17.178653,1606,207,
腰带/皮带/腰链,27.496774,9776,1717,
腰果,31.284325,2350,78,
腰鼓,19.9,2,2,
腻子粉/膏,25.332419,186,31,
膏贴,54.447553,4230,76,
膝盖贴,30.833542,182,22,
膨胀管,5.6,2,2,
膨胀螺丝,7.344333,116,25,
膨胀螺栓,24.61,10,8,
膳食纤维/碳水化合物,138.881038,2581,45,
臂力器,27.750909,854,64,
自动化技术,53.654466,142,5,
自动喂食器,13.75,200,40,
自动喷漆,15.69,23,12,
自学考试培训,36,3,2,
自律打卡器,25.8,5,4,
自我实现,22.144922,668,10,
自拍杆/架,25.98114,3870,98,
自然科学总论,62,11,4,
自由组合套装,18,556,125,
自由组套,10.458,63,17,
自由组套（仅限弱关联套装书）,28.426667,135,29,
自行车/三轮车,186.982143,589,212,
自行车内胎,20,19,15,
自行车刹车装置,34.274286,25,15,
自行车坐垫/鞍座,29.074857,215,59,
自行车坐垫套,22.92,52,17,
自行车外胎,22.7,34,20,
自行车头盔,44.8,161,66,
自行车把套,6.763333,54,21,
自行车把立,8.455172,49,7,
自行车整车,469,348,187,
自行车润滑油,13.78,144,41,
自行车灯,7.467344,401,64,
自行车码表及配件,24.625,17,13,
自行车贴纸/反光贴,6.328348,495,29,
自行车车把,16.254695,175,8,
自行车车篮/车筐,12.745,44,30,
自行车轮组,328,5,5,
自行车链条/链条扣,16.66,6,5,
臭豆腐,20.2575,121,36,
舌苔清洁器/刷,5.382651,720,11,
舒适进入/手机控车,109.25,8,1,
舞台灯,395,2,2,
舞蹈,25.96,3,1,
舞蹈服,42.675,2103,840,
舞蹈鞋,53.752083,739,283,
航空箱,34.96,29,17,
航空航天,40.2398,401,1,
船外机,874.99,1,1,
船桨/划艇配件,12.8,8,7,
船舶配件,35.87,1,1,
船袜,18.8,3932,513,
色卡,52.74426,173,4,
艺术,17,4,3,
艺术体育考试,21.5,7,2,
艺术家/建筑设计,16.8575,6,3,
艺术漆,22.520789,71,21,
艾灸/温灸器,102.728923,510,90,
节庆礼盒,31,38,26,
节拍器,73,12,8,
芋头/芋艿,11.826324,649,69,
芋头条,6.447191,240,26,
芒果,24.141822,11378,224,
芒果干,15.461765,299,46,
芝士,16.789644,1775,67,
芝士/奶酪蛋糕,62.159758,230,14,
芝士卷/牛肉卷/鸡肉卷,25.024953,197,14,
芝麻,11.901556,482,41,
芝麻糊/粉,26.112621,2258,40,
芝麻酱,33.89373,592,17,
芝麻饼/芝麻片/芝麻丸,36.743833,1853,38,
芡实,17.611875,186,29,
芡实糕/八珍糕,12.131818,328,44,
芦笋,27.684703,478,24,
芦荟,45,1,1,
芭乐/番石榴,27.75278,7851,130,
芭蕾舞配饰,12.04,33,9,
花卉盆栽,13.816364,19565,1517,
花卉种子,6.094676,2726,139,
花园管,35.99,228,106,
花材,21.653322,41830,745,
花果果粒茶,16.780233,901,59,
花架/花几,23.555385,1010,242,
花椒/八角/桂皮,16.9,2243,281,
花椒油,23.684186,122,33,
花洒套装,299,146,58,
花瓶,16.466957,1559,311,
花生,9.159222,24285,683,
花生衣,17.6375,26,5,
花生酱,13.453333,19,7,
花盆,14.407273,4481,1206,
花篮,83.410256,105,29,
花艺包装,12.135714,2515,731,
花露水,6.536912,1316,62,
芸豆,44.402381,109,12,
苍蝇拍,8.733333,15,6,
苏打水饮料,36.705,99,27,
苏打饼干,7.741064,4703,138,
苦瓜,9.850946,133,14,
苦荞茶,44.327273,341,35,
英语,1499,1,1,
英语双语读物,48,9,4,
英语口译资格考试,22.7,1,1,
英语口语,11,2,2,
英语口语考试,14.666667,3,1,
英语听力/口语,29.8,2,2,
英语四六级,48.8,61,19,
英语学习方法,27.716129,33,2,
英语翻译资格考试,21,2,2,
英语词汇,8.326316,27,7,
英语语法,33.4025,13,2,
苹果,26.317011,9323,266,
苹果干,18.171831,587,58,
茄子,18.9175,220,38,
茉莉花茶,28.272902,2966,186,
茯苓,12.256039,874,98,
茶几/边几,16.795045,611,173,
茶叶礼盒,92.301442,172,16,
茶叶罐/盒,13.9425,134,67,
茶吧机/泡茶机,143.597222,402,25,
茶含片,16.98547,194,8,
茶壶,56.897241,902,201,
茶宠,33.389812,381,47,
茶席,33.626667,103,25,
茶杯,33.197867,962,243,
茶树菇,16.9,4,4,
茶浓缩液/速溶茶/冻干茶,70.212933,163,9,
茶滤,24.314867,234,40,
茶盘,5.8,2,2,
茶盘茶托,33,329,115,
茶碗,20.172927,82,1,
茶类,17.4,2,1,
茶粉/茶膏/茶精,8.456414,300,18,
茶精华/提取液,29.9,1,1,
茶道/零配,20.9125,1048,278,
茶针/茶刀,7.8,2,1,
茶饮料,27.725833,4484,380,
草地铺设及设备,22,5,4,
草坪种子,19.5,251,56,
草莓,31.02,80,11,
草莓干,15.010081,135,7,
荔枝,35.382721,2319,39,
荔枝干,22.557471,246,12,
荞麦,26.186884,507,14,
荠菜,17,225,32,
荧光板,78.9,6,5,
荧光灯,19.6,6,6,
荧光笔,12.121111,48,18,
药材种子,13.230345,103,33,
药膳养生汤料,18.217478,771,48,
药食同源配方茶,13.6,173,80,
荷叶,21.9,60,19,
荷叶组合茶,27.04,33,9,
荸荠/马蹄,23.036042,295,30,
莓茶,61.457143,85,27,
莲子,30.275,219,57,
莲雾,44.615861,3519,36,
莴笋,13.288182,62,10,
莼菜,14.947876,454,6,
菊花茶,11.661857,1237,56,
菌/菇/酵素/微生物发酵,52.594381,2694,147,
菜刀,35.654971,980,119,
菜制品,22.278987,1928,51,
菜粉/水果粉,71.94,1,1,
菜谱,14.31,132,16,
菠萝/凤梨,27.555483,2808,93,
菠萝/凤梨干,16.039091,29,11,
菠萝包,23.865,82,7,
菠萝蜜,29.0775,23,3,
菠萝蜜/榴莲蜜,54.818182,568,102,
菩提带宝,19.9,58,30,
菱角,15.7125,9,2,
萝卜,10.450739,836,63,
营养包,206.333333,70,16,
营养液,15.876271,2025,207,
营养膏,42,456,68,
营养补充品,143.3478,755,58,
营养（消化）饼干,14.838571,646,113,
营地灯/帐篷灯,25.505349,1947,88,
萨克斯风,4276,1,1,
落地护眼灯,42.9,4,4,
落地灯,168,121,51,
落地马桶/坐便器,273.32,115,30,
葛根,13.346545,226,31,
葡萄/提子,45.012947,2857,41,
葡萄干,9.542192,1344,47,
葡萄糖,30,1,1,
葫芦,54.556842,752,101,
葫芦丝,142.063043,69,16,
葱,12.125763,1079,76,
蒜,12.913125,4398,201,
蒜苔,9.12963,1884,41,
蒲公英,42.272727,59,14,
蒸汽清洁机,252.398112,2395,7,
蒸锅,69.5,334,74,
蓄电池,40.1,33,16,
蓝莓,50.830436,4301,135,
蓝莓干,11.911111,39,13,
蓬蓬粉/干洗喷雾/头发纤维粉,27.229216,353,42,
蔓越莓干,43.366297,504,18,
蔬果干/混合果干,10.4,2284,176,
蔬果种子,8.976584,13753,1234,
蔬果配送,72.308333,9,4,
蔬菜干,20.377526,916,86,
蔬菜组合/蔬菜礼盒礼篮,23.8,60,25,
蕾丝衫/雪纺衫,33.863032,20245,2312,
薄脆饼干,17.146009,8081,329,
薄荷,8.62,4,3,
薄荷叶茶,15.441,12,3,
薏米,21.691667,703,32,
薏米粉,27.966587,127,2,
薏苡仁,15.279231,30,8,
薯条/薯饼,17,21,10,
薯片/薯条,13.299615,3410,316,
薯类制品,10.566453,6828,175,
薯类粉,21.306268,762,41,
藏族舞配饰,126,1,1,
藏红花,45.811373,97,14,
藕/莲子,26.3,63,14,
藕粉,24.69449,465,59,
藜麦,59.360733,388,17,
藤茶,30.015281,224,19,
藻类制品,12.162769,436,17,
蘸料/调味料,98,3,1,
蘸水笔,42.2,1,1,
虎音锣,148.17,3,2,
虾,11.669434,127,23,
虾干,49.6,424,63,
虾皮/虾米/海米,45.638,709,78,
虾类,104.276857,7970,234,
虾类制品,74.358641,2568,87,
虾类零食,75.728538,547,74,
虾酱/蟹酱,47.016329,1029,50,
虾饺,68.751667,51,10,
蚂蚁,14.8,1,1,
蚂蚁工坊,23.99,19,11,
蚊帐,58.925,894,431,
蚊香液,15.390376,1939,120,
蚊香片,24.982353,221,33,
蚊香盘,22.192588,1395,117,
蚕宝宝,9.9,51,16,
蚝油,25.072999,2329,51,
蛇皮果,34.16902,244,16,
蛋卷点心/曲奇糕点,15.006957,217,40,
蛋卷饼干,14.26977,1087,110,
蛋圆饼干,16.909556,66,15,
蛋挞/蛋挞液,36.88679,696,25,
蛋白粉/氨基酸/胶原蛋白,140.178073,3920,237,
蛋类零食,16.137619,2217,138,
蛋糕干,17.56,2,1,
蛋糕粉,27.644808,59,5,
蛋黄酥,29.262246,291,27,
蛙,56.3,8,6,
蛙类,89.448559,228,14,
蛤蜊干,36.709704,638,4,
蛹虫草,38.172727,66,10,
蜂场养殖物资,15.9,752,184,
蜂王浆,222,17,7,
蜂胶,29.9,1,1,
蜂蜜,70.029286,972,98,
蜘蛛,40,14,12,
蜜粉/散粉,47.904685,2553,186,
